instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_EQ|INE423A01024,25,ADANIENT,ADANI ENTERPRISES LIMITED,2586.2,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE437A01024,157,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,7101.5,,,0.5,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE021A01026,236,ASIANPAINT,ASIAN PAINTS LIMITED,2289.8,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE296A01032,317,BAJFINANCE,BAJAJ FINANCE LIMITED,951.5,,,0.5,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE263A01024,383,BEL,BHARAT ELECTRONICS LTD,410.1,,,0.05,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE795G01014,467,HDFCLIFE,HDFC LIFE INS CO LTD,799.45,,,0.05,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE059A01026,694,CIPLA,CIPLA LTD,1513.8,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE089A01031,881,DRREDDY,DR. REDDY S LABORATORIES,1321.5,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE066A01021,910,EICHERMOT,EICHER MOTORS LTD,5611.5,,,0.5,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE047A01021,1232,GRASIM,GRASIM INDUSTRIES LTD,2883.3,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE040A01034,1333,HDFCBANK,HDFC BANK LTD,2021.8,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE158A01026,1348,HEROMOTOCO,HERO MOTOCORP LIMITED,4278.0,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE038A01020,1363,HINDALCO,HINDALCO  INDUSTRIES  LTD,690.6,,,0.05,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE030A01027,1394,HINDUNILVR,HINDUSTAN UNILEVER LTD.,2280.8,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE009A01021,1594,INFY,INFOSYS LIMITED,1616.0,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE154A01025,1660,ITC,ITC LTD,420.3,,,0.05,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE237A01028,1922,KOTAKBANK,KOTAK MAHINDRA BANK LTD,2203.9,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE849A01020,1964,TRENT,TRENT LTD,6107.0,,,0.5,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE101A01026,2031,M&M,MAHINDRA & MAHINDRA LTD,3215.8,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE213A01029,2475,ONGC,OIL AND NATURAL GAS CORP.,244.73,,,0.01,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE002A01018,2885,RELIANCE,RELIANCE INDUSTRIES LTD,1495.3,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE062A01020,3045,SBIN,STATE BANK OF INDIA,797.05,,,0.05,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE044A01036,3351,SUNPHARMA,SUN PHARMACEUTICAL IND L,1669.8,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE192A01025,3432,TATACONSUM,TATA CONSUMER PRODUCT LTD,1145.4,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE155A01022,3456,TATAMOTORS,TATA MOTORS LIMITED,682.75,,,0.05,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE081A01020,3499,TATASTEEL,TATA STEEL LIMITED,160.54,,,0.01,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE280A01028,3506,TITAN,TITAN COMPANY LIMITED,3694.7,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE075A01022,3787,WIPRO,WIPRO LTD,268.52,,,0.01,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE721A01047,4306,SHRIRAMFIN,SHRIRAM FINANCE LIMITED,703.2,,,0.05,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE090A01021,4963,ICICIBANK,ICICI BANK LTD.,1439.1,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE758T01015,5097,ETERNAL,ETERNAL LIMITED,265.18,,,0.01,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE095A01012,5258,INDUSINDBK,INDUSIND BANK LIMITED,836.1,,,0.05,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE238A01034,5900,AXISBANK,AXIS BANK LIMITED,1233.5,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE860A01027,7229,HCLTECH,HCL TECHNOLOGIES LTD,1724.1,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE397D01024,10604,BHARTIARTL,BHARTI AIRTEL LIMITED,2014.3,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE585B01010,10999,MARUTI,MARUTI SUZUKI INDIA LTD.,12715.0,,,1.0,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE018A01030,11483,LT,LARSEN & TOUBRO LTD.,3659.6,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE481G01011,11532,ULTRACEMCO,ULTRATECH CEMENT LIMITED,11951.0,,,1.0,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE467B01029,11536,TCS,TATA CONSULTANCY SERV LT,3441.8,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE733E01010,11630,NTPC,NTPC LTD,337.15,,,0.05,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE019A01038,11723,JSWSTEEL,JSW STEEL LIMITED,1032.55,,,0.05,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE669C01036,13538,TECHM,TECH MAHINDRA LIMITED,1690.2,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE752E01010,14977,POWERGRID,POWER GRID CORP. LTD.,293.5,,,0.05,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE742F01042,15083,ADANIPORTS,ADANI PORT & SEZ LTD,1429.3,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE917I01010,16669,BAJAJ-AUTO,BAJAJ AUTO LIMITED,8433.0,,,0.5,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE918I01026,16675,BAJAJFINSV,BAJAJ FINSERV LTD.,2053.6,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE239A01024,17963,NESTLEIND,NESTLE INDIA LIMITED,2431.4,,,0.1,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE758E01017,18143,JIOFIN,JIO FIN SERVICES LTD,312.5,,,0.05,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE522F01014,20374,COALINDIA,COAL INDIA LTD,394.15,,,0.05,1.0,EQUITY,,NSE_EQ
NSE_EQ|INE123W01016,21808,SBILIFE,SBI LIFE INSURANCE CO LTD,1860.8,,,0.1,1.0,EQUITY,,NSE_EQ
